Row Labels,# Observations disposable income,# Datasets
Austria 2013,"5,906",1
Brazil 2011,"106,408",1
Brazil 2013,"110,888",1
Czech Republic 2013,"8,053",1
Denmark 2013,"87,517",1
Estonia 2013,"5,750",1
Finland 2013,"11,026",1
Germany 2013,"15,941",1
Greece 2013,"8,610",1
Guatemala 2011,"13,257",1
Guatemala 2014,"11,512",1
Israel 2012,"8,742",1
Luxembourg 2013,"3,873",1
Netherlands 2013,"10,174",1
Norway 2013,"234,519",1
Panama 2013,"11,790",1
Peru 2013,"29,970",1
Poland 2013,"37,086",1
Slovakia 2013,"5,485",1
South Africa 2012,"7,990",1
South Korea 2012,"13,060",1
Spain 2013,"11,920",1
Switzerland 2013,"6,792",1
Taiwan 2013,"15,858",1
United Kingdom 2013,"20,095",1
United States 2013,"51,105",1
Sum,"853,327",26
